Maintenance or Facility,Rodent Sighting,Park
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,Commercial Building
Rodent,Rat Sighting,3+ Family Mixed Use Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Mixed Use Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,Commercial Building
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,Commercial Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,Vacant Lot
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Dead Animal,Rat or Mouse,Street
Rodent,Rat Sighting,Other (Explain Below)
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Mouse Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Mixed Use Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,1-2 Family Dwelling
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,Vacant Building
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Maintenance or Facility,Rodent Sighting,Park
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,Vacant Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Mouse Sighting,1-2 Family Dwelling
Maintenance or Facility,Rodent Sighting,Park
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Dead Animal,Rat or Mouse,Street
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Maintenance or Facility,Rodent Sighting,Park
Rodent,Signs of Rodents,3+ Family Apt. Building
Maintenance or Facility,Rodent Sighting,Park
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Mouse Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Mouse Sighting,3+ Family Apt. Building
Dead Animal,Rat or Mouse,Sidewalk
Dead Animal,Rat or Mouse,Sidewalk
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Maintenance or Facility,Rodent Sighting,Park
Maintenance or Facility,Rodent Sighting,Street/Curbside
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Mixed Use Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Mouse Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,Vacant Building
Rodent,Rat Sighting,3+ Family Apt. Building
Dead Animal,Rat or Mouse,Sidewalk
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Mixed Use Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Dead Animal,Rat or Mouse,Sidewalk
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Mouse Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,Other (Explain Below)
Food Establishment,Rodents/Insects/Garbage,Catering Service
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,1-2 Family Dwelling
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Dead Animal,Rat or Mouse,Sidewalk
Rodent,Mouse Sighting,3+ Family Apt. Building
Dead Animal,Rat or Mouse,Sidewalk
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,1-2 Family Dwelling
School Maintenance,Rodents/Mice,School
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Other (Explain Below)
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,Other (Explain Below)
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Other (Explain Below)
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,Other (Explain Below)
Dead Animal,Rat or Mouse,Sidewalk
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,1-2 Family Dwelling
Maintenance or Facility,Rodent Sighting,Park
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Dead Animal,Rat or Mouse,Street
Rodent,Signs of Rodents,Other (Explain Below)
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Maintenance or Facility,Rodent Sighting,Park
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,Commercial Building
Rodent,Signs of Rodents,1-2 Family Dwelling
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Mouse Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Mixed Use Building
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Mixed Use Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Mouse Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,Parking Lot/Garage
Rodent,Mouse Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,Catch Basin/Sewer
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,1-2 Family Mixed Use Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,Vacant Building
Rodent,Mouse Sighting,Commercial Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Mixed Use Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Mouse Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,Other (Explain Below)
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
School Maintenance,Rodents/Mice,School
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Mouse Sighting,1-2 Family Dwelling
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Maintenance or Facility,Rodent Sighting,Park
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,1-2 Family Dwelling
Food Establishment,Rodents/Insects/Garbage,Other (Explain Below)
Rodent,Mouse Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Mouse Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Maintenance or Facility,Rodent Sighting,Park
Rodent,Rat Sighting,Commercial Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Mouse Sighting,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
School Maintenance,Rodents/Mice,School
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,1-2 Family Dwelling
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,Catch Basin/Sewer
Rodent,Signs of Rodents,Catch Basin/Sewer
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,1-2 Family Dwelling
Rodent,Mouse Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Other (Explain Below)
Rodent,Rat Sighting,1-2 Family Dwelling
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Dead Animal,Rat or Mouse,Street
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Mouse Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Mouse Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rodent Bite - PCS Only,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Mouse Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Mouse Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,1-2 Family Dwelling
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
School Maintenance,Rodents/Mice,School
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Mixed Use Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,1-2 Family Mixed Use Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Dead Animal,Rat or Mouse,Street
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Dead Animal,Rat or Mouse,Sidewalk
Rodent,Rat Sighting,3+ Family Mixed Use Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Maintenance or Facility,Rodent Sighting,Park
Rodent,Rat Sighting,Other (Explain Below)
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Maintenance or Facility,Rodent Sighting,Park
Rodent,Rat Sighting,3+ Family Mixed Use Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Dead Animal,Rat or Mouse,Street
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,Other (Explain Below)
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,1-2 Family Dwelling
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,3+ Family Apt. Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Mouse Sighting,Commercial Building
Rodent,Signs of Rodents,3+ Family Apt. Building
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Other (explain in Complaint Details)
Dead Animal,Rat or Mouse,Street
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
Rodent,Signs of Rodents,3+ Family Apt. Building
Rodent,Rat Sighting,1-2 Family Dwelling
